date,Private dwelling approvals,Private dwelling approvals trend,Private non-residential building approvals,Consumer sentiment,Business conditions,Labour force,Participation rate,Part-time employment,Full-time employment,Employment,Year-ended employment growth,Year-ended employment trend growth,Employment to population ratio,Unemployment,Unemployment rate,Unemployment rate trend,Hours worked,Hours worked trend,Year-ended hours worked trend growth,Average hours worked trend
2010-01-31,12.916,13.628,1695.589,120.124739411254,3.63374375639725,11545.1257757,65.390434,3297.3266982,7639.8171274,10937.1438256,1.3549228105784,1.10502077957986,61.9468852,607.9819501,5.2661354,5.4393443,1533227.360016,1531285.6595293,0.72225905913637,32.2913332086047
2010-02-28,13.424,13.744,1342.472,117.043946058461,4.81013430987616,11531.8007667,65.2073256,3298.0327978,7622.7934469,10920.8262447,1.0721629772742,1.28417361044673,61.75253,610.974522,5.298171,5.4001328,1536424.461009,1534573.3777318,1.19669117863221,32.3146793601455
2010-03-31,14.615,13.872,1585.254,117.293819068878,7.30276217089443,11552.1148268,65.2147395,3289.6715582,7636.0196936,10925.6912519,1.43898575832846,1.43393454656269,61.678413,626.423575,5.4225878,5.3680311,1524978.363377,1537847.9938256,1.65766597711923,32.3515601801906
2010-04-30,14.078,13.954,1199.664,116.078751805041,3.90391764665488,11573.9700755,65.2658922,3259.5810972,7677.948169,10937.5292662,1.32554698137617,1.5794934716793,61.6769874,636.4408093,5.498898,5.3287192,1537793.677736,1541616.2380348,2.11081035585132,32.3986715046698
2010-05-31,13.775,13.955,1434.161,107.963053899692,5.12586955162739,11542.5052351,65.0165834,3244.3948721,7694.470779,10938.8656511,1.54249137260454,1.73362775210584,61.6164045,603.6395839,5.2297103,5.282566,1554880.162543,1546116.5074986,2.56966859845063,32.4492623385173
2010-06-30,13.68,13.899,1890.451,101.855839810118,2.54498479282312,11588.9718939,65.20632,3280.0865157,7712.7338692,10992.8203849,2.20976258449237,1.91984521729252,61.8520237,596.151509,5.1441277,5.2362507,1554492.242046,1551303.9865788,3.01067290207593,32.4913941906678
2010-07-31,14.367,13.861,1491.874,113.115676719492,2.68384393987678,11634.2386152,65.3835219,3306.1230743,7712.8781264,11019.0012007,2.03455963193155,2.13923188734801,61.9259352,615.2374145,5.2881622,5.1940653,1548260.778216,1556308.2369403,3.3409948449625,32.5048725434261
2010-08-31,13.954,13.885,1637.522,119.173022034561,1.3285594448355,11647.0113706,65.377918,3284.2796837,7776.6424188,11060.9221025,2.5161115595772,2.3544236921369,62.0880358,586.0892682,5.0321001,5.1559458,1563055.957359,1560937.4498805,3.52416449105544,32.4950905052927
2010-09-30,13.153,13.927,1804.899,113.224857334216,2.23973886319158,11677.5575733,65.4719659,3273.1466042,7814.1932957,11087.3398999,2.56423395924832,2.51536157666612,62.1628226,590.2176734,5.0542904,5.1253187,1562169.544753,1565210.9453682,3.54704735039961,32.4774864625436
2010-10-31,15.238,13.891,1879.829,116.9790668483,-1.24475995070894,11724.0575859,65.655358,3311.5371271,7792.9248694,11104.4619965,2.62369670622906,2.59970250264412,62.1855891,619.5955894,5.2848221,5.099325,1568685.597665,1569393.5626831,3.46516496682743,32.4688987849968
