date,Labour force,Participation rate,Part-time employment,Full-time employment,Employment,Year-ended employment growth,Year-ended employment trend growth,Employment to population ratio,Unemployment,Unemployment rate,Unemployment rate trend,Hours worked,Hours worked trend,Year-ended hours worked trend growth,Average hours worked trend,Job vacancies,Private sector job vacancies,Vacancies to labour force ratio
1978-02-28,6424.298026,61.2460286,918.1082424,5079.3132334,5997.4214758,,,57.1764021,426.8765502,6.644719,6.3038895,,,,,,,
1978-03-31,6406.6857805,60.9658836,907.8182055,5095.0570902,6002.8752958,,,57.1232317,403.8104847,6.3029544,6.2926477,,,,,,,
1978-04-30,6433.9196129,61.1666868,911.2148131,5119.460828,6030.6756412,,,57.3330831,403.2439717,6.2674698,6.2774499,,,,,,,
1978-05-31,6432.5013495,61.0834916,914.333069,5118.7486793,6033.0817484,,,57.2905746,399.4196011,6.2093979,6.2679324,,,,,,,
1978-06-30,6439.7766412,61.0788978,929.6837145,5104.1280542,6033.8117687,,,57.2284712,405.9648725,6.304021,6.2643763,,,,,,,
1978-07-31,6430.5331485,60.9220042,933.8893858,5096.5595695,6030.4489553,,,57.1316605,400.0841931,6.2216333,6.2679631,907131.404106,907734.8791695,,34.6042107162242,,,
1978-08-31,6455.2171023,61.0684253,938.1438426,5098.1277246,6036.2715672,,,57.1050661,418.9455352,6.4900301,6.2763136,910516.538852,908148.1328735,,34.6207096034001,,,
1978-09-30,6433.2241219,60.7658957,923.8190169,5106.9872549,6030.8062718,,,56.964803,402.4178501,6.2553059,6.2852272,908779.977685,908825.6685432,,34.6455994385038,,,
1978-10-31,6432.2223275,60.6911276,928.0344791,5107.7578865,6035.7923656,,,56.9506193,396.4299619,6.1631881,6.2887129,910136.432948,909484.9887495,,34.6581541513459,,,
1978-11-30,6435.5596039,60.638869,924.447359,5103.6643935,6028.1117525,,,56.7997038,407.4478514,6.3311954,6.2930915,908878.200508,910160.050074,,34.6580040437618,,,
1978-12-31,6467.3431101,60.8459824,940.484248,5112.5954614,6053.0797094,,,56.9485143,414.2634007,6.405465,6.2987601,913249.785777,911314.3010242,,34.6723005737904,,,
1979-01-31,6462.7496579,60.7185963,930.5895281,5120.3523916,6050.9419197,,,56.8495949,411.8077382,6.3720206,6.3031552,910983.356749,913547.1117024,,34.7269951286285,,,
1979-02-28,6468.1542654,60.6728407,934.0609662,5129.3682556,6063.4292218,1.1006020881865,0.7866790939818,56.8764226,404.7250436,6.2571953,6.3058988,915870.18197,916740.1121016,,34.8182049573641,,,
1979-03-31,6462.908064,60.514897,931.4418497,5124.0916738,6055.5335236,0.8772167537254,0.76740250431422,56.7004797,407.3745404,6.3032699,6.3036382,917735.495179,920250.8985078,,34.9177768696363,,,
1979-04-30,6486.0928132,60.662671,943.4491119,5121.1511977,6064.6003096,0.56253511908742,0.76974923034279,56.7205657,421.4925036,6.4984038,6.2915832,927199.345743,923387.0270255,,34.9983368318927,,,
1979-05-31,6471.7032873,60.4467536,951.7061377,5118.514162,6070.2202997,0.6155817681378,0.8043154030275,56.6968377,401.4829876,6.203668,6.2737835,926725.019577,925679.3617731,,35.0398670150069,43.5,30.8,0.672156897016029
