date,Job vacancies,Private sector job vacancies,Vacancies to labour force ratio
2010-02-28,168.4,151.5,1.46030965507385
2010-05-31,170.3,155.3,1.4754162682303
2010-08-31,178.6,160.6,1.53344059104151
2010-11-30,191.1,173.3,1.62442449575406
2011-02-28,189.4,171.4,1.61040191235845
2011-05-31,187.3,169.7,1.5923589312099
2011-08-31,183.4,166.3,1.54862150645428
2011-11-30,179.3,161.8,1.51002934135352
2012-02-29,181.8,164.7,1.52911742516879
2012-05-31,178.1,162.8,1.48572072705572
2012-08-31,175.3,162.3,1.46345574413371
2012-11-30,164.8,152.5,1.37140710267617
2013-02-28,149.8,138.5,1.23570092019272
2013-05-31,143.5,132.4,1.18218171128085
2013-08-31,140.6,129.1,1.15522338598055
2013-11-30,138.9,128.9,1.14285603356626
2014-02-28,143.2,133.0,1.17420154744734
2014-05-31,147.4,135.2,1.20438731153283
2014-08-31,146.6,134.2,1.1919554883503
2014-11-30,149.7,137.2,1.21532447869614
2015-02-28,151.9,138.5,1.22114604313591
2015-05-31,157.8,145.3,1.26509420341718
2015-08-31,161.5,148.1,1.28918913488968
2015-11-30,167.4,151.8,1.32513650882505
2016-02-29,172.2,156.6,1.3616441126013
2016-05-31,171.3,154.9,1.35238033808937
2016-08-31,177.1,160.0,1.39810709618219
2016-11-30,182.4,164.9,1.43385173115873
2017-02-28,185.1,166.9,1.44976181100104
2017-05-31,185.8,167.0,1.44263130744831
2017-08-31,200.1,180.3,1.53913378606669
2017-11-30,205.1,186.7,1.56781765535051
2018-02-28,213.1,193.4,1.61976910411971
2018-05-31,223.5,202.9,1.6972876928295
2018-08-31,227.1,206.5,1.70980047700616
2018-11-30,232.4,210.7,1.74405133304472
2019-02-28,232.5,211.4,1.73586349628844
2019-05-31,227.2,205.1,1.68383927666494
2019-08-31,221.8,198.1,1.63115070253857
2019-11-30,230.6,206.1,1.69852420166823
2020-02-29,227.4,202.4,1.66869354373856
2020-05-31,128.4,110.6,0.990933779679798
2020-08-31,203.3,181.2,1.50962055464317
2020-11-30,260.1,234.4,1.90224410585854
2021-02-28,287.8,259.7,2.10162632661249
2021-05-31,366.7,336.6,2.6686092092987
2021-08-31,329.2,297.9,2.42540671670061
2021-11-30,406.5,372.1,2.94942562237645
2022-02-28,422.8,385.0,3.03558547323302
2022-05-31,473.1,432.3,3.3691696786514
2022-08-31,466.7,421.1,3.29473246923168
2022-11-30,451.3,404.4,3.15964141620626
2023-02-28,439.1,392.4,3.05822393624162
2023-05-31,422.3,375.8,2.9043496396295
2023-08-31,399.8,355.5,2.73097314078459
2023-11-30,385.1,342.4,2.60532652105923
2024-02-29,359.7,320.0,2.42940182798034
2024-05-31,346.3,307.5,2.32504335665487
2024-08-31,332.7,296.6,2.21370814362858
2024-11-30,346.3,310.3,2.30007766141554
2025-02-28,325.0,287.9,2.15469600307684
2025-05-31,336.7,299.2,2.21204749446595
2025-08-31,327.9,289.1,2.15066835270347
2025-11-30,328.7,289.5,2.15343267004967
2026-02-28,336.6,297.9,2.18814099457795
2026-05-31,329.5,293.8,2.13668910220665
