date,Private dwelling approvals,Private dwelling approvals trend,Private non-residential building approvals,Consumer sentiment,Business conditions,Participation rate,Year-ended employment growth,Employment to population ratio,Unemployment rate,target_next_month_unemployment_rate
2010-01-31,12.916,13.628,1695.589,120.124739411254,3.63374375639725,65.390434,1.3549228105784,61.9468852,5.2661354,5.298171
2010-02-28,13.424,13.744,1342.472,117.043946058461,4.81013430987616,65.2073256,1.0721629772742,61.75253,5.298171,5.4225878
2010-03-31,14.615,13.872,1585.254,117.293819068878,7.30276217089443,65.2147395,1.43898575832846,61.678413,5.4225878,5.498898
2010-04-30,14.078,13.954,1199.664,116.078751805041,3.90391764665488,65.2658922,1.32554698137617,61.6769874,5.498898,5.2297103
2010-05-31,13.775,13.955,1434.161,107.963053899692,5.12586955162739,65.0165834,1.54249137260454,61.6164045,5.2297103,5.1441277
2010-06-30,13.68,13.899,1890.451,101.855839810118,2.54498479282312,65.20632,2.20976258449237,61.8520237,5.1441277,5.2881622
2010-07-31,14.367,13.861,1491.874,113.115676719492,2.68384393987678,65.3835219,2.03455963193155,61.9259352,5.2881622,5.0321001
2010-08-31,13.954,13.885,1637.522,119.173022034561,1.3285594448355,65.377918,2.5161115595772,62.0880358,5.0321001,5.0542904
2010-09-30,13.153,13.927,1804.899,113.224857334216,2.23973886319158,65.4719659,2.56423395924832,62.1628226,5.0542904,5.2848221
2010-10-31,15.238,13.891,1879.829,116.9790668483,-1.24475995070894,65.655358,2.62369670622906,62.1855891,5.2848221,5.1091742
2010-11-30,13.813,13.751,1768.886,110.728836220318,-0.0565740654850697,65.8025737,2.87925979050292,62.4406056,5.1091742,4.8768861
2010-12-31,14.473,13.554,1777.851,110.984405396343,-0.65598223539339,65.601393,2.58962559208789,62.4020878,4.8768861,5.0034146
2011-01-31,12.349,13.339,1062.3,104.64813024126,-5.60353731080717,65.7805484,2.42167704039926,62.4892748,5.0034146,4.9718308
2011-02-28,12.36,13.097,1838.777,106.593213115359,-4.23058782250291,65.5079898,2.33932828593428,62.2510434,4.9718308,4.9264461
2011-03-31,13.493,12.892,2183.834,104.052619976913,3.62677859119622,65.6044439,2.64920399475561,62.3724764,4.9264461,4.9596918
2011-04-30,13.569,12.814,1591.319,105.305134847717,0.76454281553586,65.3576249,2.2396611943888,62.1160881,4.9596918,5.0132697
